"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"XD.4","Forge Work","Forge Wrk","26 Mar 2001",""
"XD.41","Blacksmiths (Industrial)","Blksmth (Ind)","26 Mar 2001",""
"XD.5","Forming","Forming","26 Mar 2001",""
"XD.51","Rolling","Rolling","26 Mar 2001",""
"XD.6","Hardening / Dressing (Metals)","Hardening/ Dressing (Metals)","26 Mar 2001",""
"XD.7","Metal Working / Fabrication","Metal Wrk/ Fabrication","26 Mar 2001",""
"XD.71","Metal Working","Metal Wrk","26 Mar 2001",""
"XD.74","Fabrication (Industrial)","Fabrication (Ind)","26 Mar 2001",""
"XD.8","Metal Finishing","Metal Finishing","26 Mar 2001",""
"XD.9","Metal Coating / Plating Processes","Metal Coat/ Plating Proc","26 Mar 2001",""
"XE.","Welding / Joining","Welding/ Joining","26 Mar 2001",""
"XE.2","Welding (General)","Welding (Gen)","26 Mar 2001",""
"XE.22","Welding Inspection","Welding Insp","26 Mar 2001",""
"XE.3","Electric Welding","Elec Welding","26 Mar 2001",""
"XE.31","Arc Welding","Arc Welding","26 Mar 2001",""
"XE.311","Metal Arc Welding","Metal Arc Welding","26 Mar 2001",""
"XE.312","Mig / Tig Welding","Mig/ Tig Welding","26 Mar 2001",""
"XE.313","Gas Shielded Arc Welding","Gas Shielded Arc Welding","26 Mar 2001",""
"XE.4","Gas Welding","Gas Welding","26 Mar 2001",""
"XE.46","Oxyacetylene Welding","Oxyacetylene Welding","26 Mar 2001",""
"XE.5","Welding (For Specific Applications / Materials)","Welding (For Spec Apps/ Mat)","26 Mar 2001",""
"XE.58","Plastics Welding","Plast Welding","26 Mar 2001",""
"XE.6","Joining (Non-Welding)","Joining (Non-Welding)","26 Mar 2001",""
"XE.61","Brazing","Brazing","26 Mar 2001",""
"XE.62","Bonding","Bonding","26 Mar 2001",""
"XE.65","Soldering","Soldering","26 Mar 2001",""
"XF.","Tools / Machining","Tools/ Machining","26 Mar 2001",""
"XF.1","Machine Shop Practice","Mach Shop Prac","26 Mar 2001",""
"XF.11","Tool / Jig Making","Tool/ Jig Making","26 Mar 2001",""
"XF.2","Machine Tool Setting / Operating","Mach Tool Setting/ Op","26 Mar 2001",""
"XF.21","Numerically Controlled Machining","Numerically Contled Machining","26 Mar 2001",""
"XF.22","Computer Controlled Machining","Comp Contled Machining","26 Mar 2001",""
"XF.23","Part Programming","Part Prog","26 Mar 2001",""
"XF.3","Milling / Grinding (Industrial)","Milling/ Grinding (Ind)","26 Mar 2001",""
"XF.4","Cutting (Industrial)","Cutting (Ind)","26 Mar 2001",""
"XF.41","Thermal Cutting","Thermal Cutting","26 Mar 2001",""
"XF.411","Oxyacetylene Flame Cutting","Oxyacetylene Flame Cutting","26 Mar 2001",""
"XF.412","Plasma Cutting","Plasma Cutting","26 Mar 2001",""
"XF.5","Drilling / Boring (Production)","Drilling/ Boring (Prod)","26 Mar 2001",""
"XF.6","Lathe Work","Lathe Wrk","26 Mar 2001",""
"XF.7","Tools Use / Maintenance","Tools Use/ Maint","26 Mar 2001",""
"XF.71","Power Hand Tools","Pwr Hand Tools","26 Mar 2001",""
"XH.","Mechanical Engineering","Mech Engnr","26 Mar 2001",""
"XH.1","Mechanical Engineering (General)","Mech Engnr (Gen)","26 Mar 2001",""
"XH.13","Mechanical Production Engineering","Mech Prod Engnr","26 Mar 2001",""
"XH.2","Hydraulic Engineering","Hydraulic Engnr","26 Mar 2001",""
"XH.21","Hydraulic Power Systems","Hydraulic Pwr Sys","26 Mar 2001",""
"XH.3","Fluid Engineering","Fluid Engnr","26 Mar 2001",""
"XH.31","Flow Systems","Flow Sys","26 Mar 2001",""
"XH.312","Pipework Engineering","Pipewrk Engnr","26 Mar 2001",""
"XH.32","Steam Engineering","Steam Engnr","26 Mar 2001",""
"XH.321","Boiler Engineering","Boiler Engnr","26 Mar 2001",""
"XH.33","Blowers / Fans","Blowers/ Fans","26 Mar 2001",""
"XH.34","Mixing Machines","Mixing Machs","26 Mar 2001",""
"XH.35","Turbine Engineering","Turbine Engnr","26 Mar 2001",""
"XH.36","Pneumatic Equipment / Processes","Pneumatic Eq/ Proc","26 Mar 2001",""
"XH.361","Compressors","Compressors","26 Mar 2001",""
"XH.362","Pumps","Pumps","26 Mar 2001",""
"XH.363","Valves","Valves","26 Mar 2001",""
"XH.4","Pneumatic Engineering","Pneumatic Engnr","26 Mar 2001",""
"XH.41","Pressure Vessels","Pressure Vessels","26 Mar 2001",""
"XH.43","Refrigeration Engineering","Refrig Engnr","26 Mar 2001",""
"XH.44","Heat Pumps","Heat Pumps","26 Mar 2001",""
"XH.45","Heat Exchanger Technology","Heat Exchr Tech","26 Mar 2001",""
"XH.5","Acoustic / Vibration Engineering","Acoustic/ Vibration Engnr","26 Mar 2001",""
"XH.6","Thermal Engineering","Thermal Engnr","26 Mar 2001",""
"XH.62","Gas Turbines","Gas Turbines","26 Mar 2001",""
"XH.7","Tribology","Tribology","26 Mar 2001",""
"XH.71","Bearings","Bearings","26 Mar 2001",""
"XH.72","Gears (Mechanical Engineering)","Gears (Mech Engnr)","26 Mar 2001",""
"XH.73","Lubrication Technology","Lubrication Tech","26 Mar 2001",""
"XH.8","Materials Handling Technology","Mat Hnd Tech","26 Mar 2001",""
"XH.81","Lifting / Handling Engineering","Lifting/ Hnd Engnr","26 Mar 2001",""
"XH.811","Crane Engineering","Crane Engnr","26 Mar 2001",""
"XH.82","Lift Technology","Lift Tech","26 Mar 2001",""
"XH.9","Heating / Ventilation Engineering","Heat/ Vent Engnr","26 Mar 2001",""
"XH.91","Air Conditioning Engineering","Air Con Engnr","26 Mar 2001",""
"XH.92","Heating Engineering","Heat Engnr","26 Mar 2001",""
"XH.93","Ventilation Engineering","Vent Engnr","26 Mar 2001",""
"XJ.","Electrical Engineering","Elec Engnr","26 Mar 2001",""
"XJ.1","Electrical Engineering (General)","Elec Engnr (Gen)","26 Mar 2001",""
"XJ.11","Electrical Craft Studies","Elec Craft Stud","26 Mar 2001",""
"XJ.12","Electrical Technician Studies","Elec Tech Stud","26 Mar 2001",""
"XJ.13","Electrical Maintenance Engineering","Elec Maint Engnr","26 Mar 2001",""
"XJ.2","Electrical Safety","Elec Sfty","26 Mar 2001",""
"XJ.21","Electrical Hazards (Protection From)","Elec Hzrd (Protfrom)","26 Mar 2001",""
"XJ.22","Electrical Equipment Protection","Elec Eq Prtct","26 Mar 2001",""
"XJ.23","Electric Circuit Protection","Elec Circuit Prtct","26 Mar 2001",""
"XJ.3","Electric Installation / Wiring (Plant / Machinery / Appliances)","Elec Instal/ Wiring (Plant/ Mach/ Apps)","26 Mar 2001",""
"XJ.31","Wiring Regulations","Wiring Regulations","26 Mar 2001",""
"XJ.32","Electrical Testing","Elec Testing","26 Mar 2001",""
"XJ.33","Electric Circuits","Elec Circ","26 Mar 2001",""
"XJ.331","Electric Circuit Wiring","Elec Circuit Wiring","26 Mar 2001",""
"XJ.4","Electric Machines","Elec Machs","26 Mar 2001",""
"XJ.41","Electromechanical Engineering","Electromech Engnr","26 Mar 2001",""
"XJ.42","Electric Motors","Elec Motors","26 Mar 2001",""
"XJ.5","Electric Materials","Elec Mat","26 Mar 2001",""
"XJ.6","Electrical Principles","Elec Principles","26 Mar 2001",""
"XJ.7","Electric Components","Elec Comps","26 Mar 2001",""
"XK.","Power / Energy Engineering","Pwr/ Energy Engnr","26 Mar 2001",""
"XK.1","Energy Engineering","Energy Engnr","26 Mar 2001",""
"XK.2","Electric Power Engineering","Elec Pwr Engnr","26 Mar 2001",""
"XK.21","Electric Power","Elec Pwr","26 Mar 2001",""
"XK.211","Power Plants","Pwr Plants","26 Mar 2001",""
"XK.213","Electric Generators","Elec Gen","26 Mar 2001",""
"XK.22","Hydroelectric Power","Hydroelec Pwr","26 Mar 2001",""
"XK.23","Wind Powered Generators","Wind Pwred Gen","26 Mar 2001",""
"XK.24","Gas Fuelled Power Generators","Gas Fuelled Pwr Gen","26 Mar 2001",""
"XK.25","Oil Fuelled Power Generators","Oil Fuelled Pwr Gen","26 Mar 2001",""
"XK.26","Solid Fuelled Power Generators","Solid Fuelled Pwr Gen","26 Mar 2001",""
"XK.3","Nuclear Power Engineering","Nuclear Pwr Engnr","26 Mar 2001",""
"XK.4","Electric Power Storage / Transmission","Elec Pwr Strg/ Trnsm","26 Mar 2001",""
"XK.41","Power Supply (General)","Pwr Supply (Gen)","26 Mar 2001",""
"XK.42","Power Transformers","Pwr Transfrms","26 Mar 2001",""
"XK.43","Switchgear","Switchgear","26 Mar 2001",""
"XK.44","Power Transmission","Pwr Trnsm","26 Mar 2001",""
"XK.45","Electric Power Storage","Elec Pwr Strg","26 Mar 2001",""
"XK.46","Power Lines Maintenance","Pwr Lines Maint","26 Mar 2001",""
"XK.5","Electromagnetic Engineering","Electromagnetic Engnr","26 Mar 2001",""
"XL.","Electronic Engineering","Elec Engnr","26 Mar 2001",""
"XL.1","Electronic Engineering (General)","Elec Engnr (Gen)","26 Mar 2001",""
"XL.13","Digital Electronics","Digital Elecs","26 Mar 2001",""
"XL.14","Analogue Electronics","Anlg Elecs","26 Mar 2001",""
"XL.15","Microelectronics","Microelecs","26 Mar 2001",""
"XL.16","Electronic Maintenance Engineering","Elec Maint Engnr","26 Mar 2001",""
"XL.2","Industrial Electronics","Ind Elecs","26 Mar 2001",""
"XL.21","Electronic Craft Skills","Elec Craftskl","26 Mar 2001",""
"XL.22","Electronics Technicians","Elecs Techs","26 Mar 2001",""
"XL.23","Electronics Testing / Fault Finding","Elecs Testing/ Fault Fnd","26 Mar 2001",""
"XL.24","Power Electronics","Pwr Elecs","26 Mar 2001",""
"XL.3","Electronic Materials","Elec Mat","26 Mar 2001",""
"XL.31","Superconductors (Electronics)","Superconductors (Elecs)","26 Mar 2001",""
"XL.4","Electronics Systems Design","Elecs Sys Des","26 Mar 2001",""
"XL.41","Microelectronics Systems Design","Microelecs Sys Des","26 Mar 2001",""
"XL.42","Computer Aided Electronic Design","Comp Aided Elec Des","26 Mar 2001",""
"XL.43","Electronics Calculations","Elecs Calculations","26 Mar 2001",""
"XL.5","Electronic Components / Circuits","Elec Comps/ Circ","26 Mar 2001",""
"XL.52","Anti Static Components / Techniques","Anti Static Comps/ Tech","26 Mar 2001",""
"XL.53","Microprocessors","Microprcss","26 Mar 2001",""
"XL.54","Very Large / Large Scale Integration (Vlsi/Lsi)","Very Large/ Large Scale Intg","26 Mar 2001",""
"XL.55","Semiconductor Devices","Semiconductor Devs","26 Mar 2001",""
"XL.56","Electronic Circuits","Elec Circ","26 Mar 2001",""
"XL.562","Integrated Circuits","Intgd Circ","26 Mar 2001",""
"XL.564","Logic Circuits","Logic Circ","26 Mar 2001",""
"XL.565","Logic Gates","Logic Gates","26 Mar 2001",""
"XL.57","Amplifiers / Signal Generators","Amplifiers/ Signal Gen","26 Mar 2001",""
"XL.571","Signal Processing Components","Signal Prcss Comps","26 Mar 2001",""
"XL.58","Surface Mount Technology","Surface Mount Tech","26 Mar 2001",""
"XL.6","Optoelectronics","Optoelecs","26 Mar 2001",""
"XL.61","Fibre Optics","Fibre Optics","26 Mar 2001",""
"XL.62","Laser Technology","Laser Tech","26 Mar 2001",""
"XL.621","Laser Devices","Laser Devs","26 Mar 2001",""
"XL.63","Optical Electronic Devices","Op Elec Devs","26 Mar 2001",""
"XL.7","Electromagnetic Compatibility","Electromagnetic Comp","26 Mar 2001",""
"XL.8","Sound / Audio Technology","Sound/ Audio Tech","26 Mar 2001",""
"XL.81","Sound Based Technology","Sound Based Tech","26 Mar 2001",""
"XL.811","Sonar","Sonar","26 Mar 2001",""
"XL.82","Audio / Recording Technology","Audio/ Rec Tech","26 Mar 2001",""
"XL.9","Mechatronics","Mechatronics","26 Mar 2001",""
"XM.","Telecommunications","Telecomms","26 Mar 2001",""
"XM.1","Data Communications Systems","Data Comms Sys","26 Mar 2001",""
"XM.11","Viewdata / Videotex","Viewdata/ Vidtex","26 Mar 2001",""
"XM.12","Fax (Telecommunications)","Fax (Telecomms)","26 Mar 2001",""
"XM.13","Integrated Services Digital Networks (Isdn)","Intgd Svc Digital Nwrks (Isdn)","26 Mar 2001",""
"XM.14","Data Communications Hardware","Data Comms Hardware","26 Mar 2001",""
"XM.141","Telecommunications Fitting / Line Work","Telecomms Fitting/ Line Wrk","26 Mar 2001",""
"XM.142","Optical Communications Networks","Op Comms Nwrks","26 Mar 2001",""
"XM.2","Radio Communication","Radio Comm","26 Mar 2001",""
"XM.21","Microwave Principles (Electronics)","Microwave Principles (Elecs)","26 Mar 2001",""
"XM.22","Transmission Telecommunications","Trnsm Telecomms","26 Mar 2001",""
"XM.23","Radio Frequency Engineering","Radio Frequency Engnr","26 Mar 2001",""
"XM.24","Satellite Communications","Satellite Comms","26 Mar 2001",""
"XM.25","Radio Amateurs","Radio Am","26 Mar 2001",""
"XM.26","Radio Operators","Radio Operators","26 Mar 2001",""
"XM.3","Telephony","Telephony","26 Mar 2001",""
"XM.31","Telephone Installation / Servicing","Tele Instal/ Svcg","26 Mar 2001",""
"XM.32","Radio Telephones (Telecommunications)","Radio Teles (Telecomms)","26 Mar 2001",""
"XM.4","Television Systems (Electronics)","Tv Sys (Elecs)","26 Mar 2001",""
"XM.41","Television Principles","Tv Principles","26 Mar 2001",""
"XM.42","Closed Circuit Television (Electronics)","Closed Circuit Tv (Elecs)","26 Mar 2001",""
"XM.44","Cable Television Systems (Electronics)","Cable Tv Sys (Elecs)","26 Mar 2001",""
"XM.45","Satellite Television Systems (Electronics)","Satellite Tv Sys (Elecs)","26 Mar 2001",""
"XM.46","Video Equipment (Electronics)","Vid Eq (Elecs)","26 Mar 2001",""
"XM.5","Radar Systems","Radar Sys","26 Mar 2001",""
"XM.6","Mobile Communications Systems","Mob Comms Sys","24 Jan 2005",""
"XM.61","Umts (Universal Mobile Telecommunications Systems)","Umts (Univ Mob Telecomms Sys)","24 Jan 2005",""
"XM.62","Gprs (General Packet Radio Service)","Gprs (Gen Packet Radio Svce)","24 Jan 2005",""
"XM.63","Gms (Global System Mobile Communication)","Gms (Global Sys Mob Comm)","24 Jan 2005",""
"XN.","Electrical / Electronic Servicing","Elec/ Elec Svcg","26 Mar 2001",""
"XN.1","Electrical Appliance Servicing","Elec App Svcg","26 Mar 2001",""
"XN.13","Electrical Appliance Fitting","Elec App Fitting","26 Mar 2001",""
"XN.14","Domestic Electrical Appliance Servicing","Dom Elec App Svcg","26 Mar 2001",""
"XN.2","Business Equipment Servicing","Bus Eq Svcg","26 Mar 2001",""
"XN.3","Leisure / Domestic Electronic Equipment Servicing","Lsr/ Dom Elec Eq Svcg","26 Mar 2001",""
"XP.","Aerospace / Defence Engineering","Aerospace/ Defence Engnr","26 Mar 2001",""
"XP.1","Aerospace Engineering","Aerospace Engnr","26 Mar 2001",""
"XP.11","Aircraft Engineering","Arcrft Engnr","26 Mar 2001",""
"XP.2","Avionics","Avionics","26 Mar 2001",""
"XP.3","Aircraft","Arcrft","26 Mar 2001",""
"XP.33","Helicopters","Helicopters","26 Mar 2001",""
"XP.4","Aircraft Maintenance Engineering","Arcrft Maint Engnr","26 Mar 2001",""
"XP.41","Aircraft Engine Maintenance","Arcrft Engine Maint","26 Mar 2001",""
"XP.5","Space Technology","Space Tech","26 Mar 2001",""
"XP.6","Defence / Weapons Technology","Defence/ Weapons Tech","26 Mar 2001",""
"XQ.","Ship and Boat Building / Marine / Offshore Engineering and Maintenance","Ship & Boat Bldg/ Marine/ Offsh Engnr & Maint","26 Mar 2001",""
"XQ.1","Marine Engineering","Marine Engnr","26 Mar 2001",""
"XQ.2","Naval Architecture","Naval Arch","26 Mar 2001",""
"XQ.21","Ship Design","Ship Des","26 Mar 2001",""
"XQ.3","Ship Building","Ship Bldg","26 Mar 2001",""
"XQ.4","Boat Building","Boat Bldg","26 Mar 2001",""
"XQ.41","Boat Design","Boat Des","26 Mar 2001",""
"XQ.43","Small Boat Technology","Small Boat Tech","26 Mar 2001",""
"XQ.44","Yacht Building","Yacht Bldg","26 Mar 2001",""
"XQ.5","Marine Electronics / Instruments","Marine Elecs/ Insts","26 Mar 2001",""
"XQ.51","Marine Electronic Engineering","Marine Elec Engnr","26 Mar 2001",""
"XQ.52","Offshore Electronic Engineering","Offsh Elec Engnr","26 Mar 2001",""
"XQ.6","Marine Electrical Engineering","Marine Elec Engnr","26 Mar 2001",""
"XQ.7","Marine Mechanical Engineering","Marine Mech Engnr","26 Mar 2001",""
"XQ.71","Marine Engine Maintenance","Marine Engine Maint","26 Mar 2001",""
"XQ.8","Submarines / Submersibles","Submarines/ Submersibles","26 Mar 2001",""
"XQ.9","Offshore Engineering","Offsh Engnr","26 Mar 2001",""
"XR.","Road Vehicle Engineering","Road Veh Engnr","26 Mar 2001",""
"XR.2","Vehicle Design / Production (General)","Veh Des/ Prod (Gen)","26 Mar 2001",""
"XR.21","Vehicle Design (General)","Veh Des (Gen)","26 Mar 2001",""
"XR.211","Vehicle Engine Design","Veh Engine Des","26 Mar 2001",""
"XR.212","Vehicle Body Design / Styling","Veh Body Des/ Styling","26 Mar 2001",""
"XR.213","Automotive Safety Systems/Design","Automotive Sfty Sys/ Des","11 Dec 2006",""
"XR.22","Vehicle Production (General)","Veh Prod (Gen)","26 Mar 2001",""
"XR.23","Vehicle Body Building","Veh Body Bldg","26 Mar 2001",""
"XR.24","Vehicle Finishing","Veh Finishing","26 Mar 2001",""
"XR.241","Vehicle Painting / Spraying (Industrial)","Veh Painting/ Spraying (Ind)","26 Mar 2001",""
"XR.3","Road Vehicles Design / Production","Road Vehs Des/ Prod","26 Mar 2001",""
"XR.31","Car and Van Design / Production","Car & Van Des/ Prod","26 Mar 2001",""
"XR.33","Public Service Vehicles Design / Production","Pub Svce Vehs Des/ Prod","26 Mar 2001",""
"XR.34","Heavy Goods Vehicles Design / Production","Heavy Gds Vehs Des/ Prod","26 Mar 2001",""
"XR.36","Motorcycle Design / Production","Motorcycle Des/ Prod","26 Mar 2001",""
"XR.4","Special Vehicles Design / Production","Spec Vehs Des/ Prod","26 Mar 2001",""
"XS.","Vehicle Maintenance / Repair / Servicing","Veh Maint/ Repair/ Svcg","26 Mar 2001",""
"XS.1","Vehicle Maintenance / Repair","Veh Maint/ Repair","26 Mar 2001",""
"XS.15","Vehicle Cleaning","Veh Cleaning","26 Mar 2001",""
"XS.16","Vehicle Inspection","Veh Insp","26 Mar 2001",""
"XS.2","Vehicle Workshop Practice","Veh Wrkshop Prac","26 Mar 2001",""
"XS.3","Vehicle Body Maintenance / Repair","Veh Body Maint/ Repair","26 Mar 2001",""
"XS.31","Panel Beating","Panel Beating","26 Mar 2001",""
"XS.32","Vehicle Welding","Veh Welding","26 Mar 2001",""
"XS.33","Vehicle Restoration","Veh Restoration","26 Mar 2001",""
"XS.34","Vehicle Painting / Spraying (Bodyshop)","Veh Painting/ Spraying (Bodyshop)","26 Mar 2001",""
"XS.4","Vehicle Engine Maintenance / Repair","Veh Engine Maint/ Repair","26 Mar 2001",""
"XS.41","Engine Diagnostics","Engine Diagnostics","26 Mar 2001",""
"XS.42","Lgv Engines","Lgv Engines","26 Mar 2001",""
"XS.43","Car and Van Engines","Car & Van Engines","26 Mar 2001",""
"XS.44","Diesel Engines (Vehicle)","Diesel Engines (Veh)","26 Mar 2001",""
"XS.45","Vehicle Fuel Systems","Veh Fuel Sys","26 Mar 2001",""
"XS.451","Fuel Injection Systems","Fuel Injection Sys","26 Mar 2001",""
"XS.452","Turbocharging","Turbocharging","26 Mar 2001",""
"XS.453","Catalytic Converters","Catalytic Converters","26 Mar 2001",""
"XS.46","Vehicle Exhaust Systems","Veh Exhaust Sys","26 Mar 2001",""
"XS.47","Vehicle Ignition Systems","Veh Ignition Sys","26 Mar 2001",""
"XS.48","Vehicle Lubrication","Veh Lubrication","26 Mar 2001",""
"XS.5","Vehicle Wheel and Tyre Fitting","Veh Wheel & Tyre Fitting","26 Mar 2001",""
"XS.6","Vehicle Electrical / Electronic Systems","Veh Elec/ Elec Sys","26 Mar 2001",""
"XS.61","Vehicle Battery / Charging Systems","Veh Battery/ Charging Sys","26 Mar 2001",""
"XS.7","Vehicle Steering / Braking / Transmission","Veh Steering/ Braking/ Trnsm","26 Mar 2001",""
"XS.71","Braking Systems","Braking Sys","26 Mar 2001",""
"XS.72","Gears / Gear Boxes (Vehicle)","Gears/ Gear Boxes (Veh)","26 Mar 2001",""
"XS.8","Bicycle Maintenance / Repair","Bicycle Maint/ Repair","26 Mar 2001",""
"XS.9","Motorcycle Maintenance / Repair","Motorcycle Maint/ Repair","26 Mar 2001",""
"XT.","Rail Vehicle Engineering","Rail Veh Engnr","26 Mar 2001",""
"XT.1","Rail Rolling Stock","Rail Rolling Stock","26 Mar 2001",""
"XT.2","Rail Locomotives","Rail Locomotives","26 Mar 2001",""
"XT.3","Light / Portable Railways","Light/ Portable Railways","26 Mar 2001",""
"XXXX","Not Applicable","Not App","26 Mar 2001",""
"Y","Oil / Mining / Plastics / Chemicals","Oil/ Min/ Plast/ Chem","26 Mar 2001",""
"YA.","Mining / Quarrying / Extraction","Min/ Quarrying/ Extraction","26 Mar 2001",""
"YA.1","Mining (General)","Min (Gen)","26 Mar 2001",""
"YA.2","Minerals Exploration","Mins Exploration","26 Mar 2001",""
"YA.21","Mining Geology","Min Geology","26 Mar 2001",""
"YA.3","Mining Operations","Min Ops","26 Mar 2001",""
"YA.5","Mining Engineering","Min Engnr","26 Mar 2001",""
"YA.6","Quarrying","Quarrying","26 Mar 2001",""
"YB.","Oil and Gas Operations","Oil & Gas Ops","26 Mar 2001",""
